Material,Wood
Geometry,Rectangular
Width,"17.75460",mm
Thickness,"1.60020",mm
Length,"50.80000",mm

Time,Extension,Load
(s),(mm),(N)
"53.80000","0.79736","2,811.23901"
"53.90000","0.79872","2,815.99146"
"54.00000","0.80009","2,821.03052"
"54.10000","0.80163","2,826.42920"
"54.20000","0.80316","2,832.66357"
"54.30000","0.80470","2,838.43311"
"54.40000","0.80607","2,843.43066"
"54.50000","0.80752","2,848.60742"
"54.60000","0.80906","2,854.78003"
"54.70000","0.81059","2,860.68896"
"54.80000","0.81213","2,866.68359"
"54.90000","0.81358","2,872.03271"
"55.00000","0.81486","2,876.63550"
"55.10000","0.81640","2,882.21289"
"55.20000","0.81811","2,888.81128"
"55.30000","0.81964","2,895.09277"
"55.40000","0.82101","2,900.19775"
"55.50000","0.82229","2,904.47144"
"55.60000","0.82366","2,909.05322"
"55.70000","0.82528","2,915.19727"
"55.80000","0.82707","2,922.19312"
"55.90000","0.82852","2,928.52734"
"56.00000","0.82997","2,933.34790"
"56.10000","0.83134","2,938.34204"
"56.20000","0.83271","2,943.38818"
"56.30000","0.83424","2,948.80957"
"56.40000","0.83578","2,954.74536"
"56.50000","0.83723","2,960.26465"
"56.60000","0.83860","2,964.61816"
"56.70000","0.84005","2,969.72681"
"56.80000","0.84167","2,975.68579"
"56.90000","0.84329","2,981.73486"
"57.00000","0.84474","2,987.87866"
"57.10000","0.84620","2,992.68164"
"57.20000","0.84756","2,997.67334"
"57.30000","0.84901","3,002.64600"
"57.40000","0.85072","3,009.02759"
"57.50000","0.85226","3,015.55005"
"57.60000","0.85362","3,020.35034"
"57.70000","0.85490","3,025.03979"
"57.80000","0.85627","3,029.33838"
"57.90000","0.85789","3,035.30884"
"58.00000","0.85969","3,042.29492"
"58.10000","0.86114","3,048.36353"
"58.20000","0.86250","3,053.43604"
"58.30000","0.86395","3,058.24097"
"58.40000","0.86541","3,063.30176"
"58.50000","0.86686","3,062.17163"
"58.60000","0.86839","3,067.66650"
"58.70000","0.86985","3,073.39551"
"58.80000","0.87121","3,078.55347"
"58.90000","0.87266","3,084.01685"
"59.00000","0.87429","3,090.08545"
"59.10000","0.87591","3,096.56226"
"59.20000","0.87736","3,102.39160"
"59.30000","0.87881","3,107.58789"
"59.40000","0.88018","3,112.52173"
"59.50000","0.88163","3,117.50586"
"59.60000","0.88325","3,123.76733"
"59.70000","0.88487","3,130.34204"
"59.80000","0.88615","3,134.83813"
"59.90000","0.88743","3,139.15332"
"60.00000","0.88880","3,143.41846"
"60.10000","0.89051","3,149.45239"
"60.20000","0.89230","3,156.58936"
"60.30000","0.89375","3,162.55005"
"60.40000","0.89512","3,166.93457"
"60.50000","0.89657","3,171.63013"
"60.60000","0.89794","3,176.54541"
"60.70000","0.89947","3,180.34326"
"60.80000","0.90101","3,183.00684"
"60.90000","0.90246","3,188.69238"
"61.00000","0.90374","3,193.49170"
"61.10000","0.90528","3,198.82544"
"61.20000","0.90682","3,204.71313"
"61.30000","0.90844","3,210.89746"
"61.40000","0.90997","3,216.64844"
"61.50000","0.91134","3,221.70068"
"61.60000","0.91279","3,226.71704"
"61.70000","0.91424","3,231.93408"
"61.80000","0.91587","3,237.75146"
"61.90000","0.91740","3,243.97852"
"62.00000","0.91877","3,248.62817"
"62.10000","0.92005","3,253.16626"
"62.20000","0.92142","3,257.84058"
"62.30000","0.92312","3,263.39771"
"62.40000","0.92483","3,270.66333"
"62.50000","0.92637","3,276.51318"
"62.60000","0.92773","3,281.17383"
"62.70000","0.92918","3,286.10181"
"62.80000","0.93055","3,290.90112"
"62.90000","0.93200","3,295.99121"
"63.00000","0.93354","3,301.59497"
"63.10000","0.93499","3,306.70654"
"63.20000","0.93636","3,311.59570"
"63.30000","0.93789","3,316.63525"
"63.40000","0.93943","3,322.30200"
"63.50000","0.94114","3,328.54102"
"63.60000","0.94259","3,333.79297"
"63.70000","0.94396","3,338.49634"
"63.80000","0.94532","3,343.18896"
"63.90000","0.94677","3,348.26660"
"64.00000","0.94840","3,353.89258"
"64.10000","0.95002","3,360.03247"
"64.20000","0.95138","3,364.40820"
"64.30000","0.95266","3,368.64673"
"64.40000","0.95403","3,372.92969"
"64.50000","0.95574","3,378.93188"
"64.60000","0.95753","3,386.00317"
"64.70000","0.95898","3,391.29321"
"64.80000","0.96035","3,395.21436"
"64.90000","0.96163","3,399.25171"
"65.00000","0.96308","3,403.93384"
"65.10000","0.96462","3,409.40796"
"65.20000","0.96615","3,414.88647"
